Tourism Site,NC Radon Awarenes Site 
Undefined,"We serve the NC insurance industry by providing services and programs for automobile, property and workers compensation insurance. This site contains information for these types of insurance. "
Undefined,the North Carolina Respiratory Care   
Undefined,North Carolina Rural Electrification Authority 
Board Examiners,NC State Board of Environmental Health Specialist Examiners 
Undefined,nc report cards for schools 
Undefined,nc science and technology 
Undefined,NC School for the deaf 
State Board,NC State Employees Combined Campaign 
Public Health,North Carolina Seniors' Health Insurance Information Program (SHIIP) 
Department Education,"North Carolina Sickle Cell Syndrome Program, NC Department of Public Health "
Department Education,The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI). 
Undefined,"Thank you for visiting ACCESSNC, your one-stop source for North Carolina economic data and site information. "
Undefined,"The Carolina Star Program is designed to recognize and promote effective safety and health management systems. In Star, management, labor and OSH establish a cooperative relationship at a workplace that has implemented a strong program. "
Undefined,NC state Fair 
Undefined,NC Stormwater and Runoff pollution site 
State Board,NC State Univ Extension  
State Board,North Carolina Social Work Certification and Licensure Board 
Undefined,NC Symphony 
Department Education,"Tobacco Free Schools, NC Department of Health and Human Services "
State Board,State of North Carolina Japan Office 
Undefined,NC-TOPPS homepage is now http://www.ncdhhs.gov/MHDDSAS/providers/NCTOPPS/index.htm. Entry still included here for nctopps.ncdmh.net pattern for pages such as https://www.google.com/search?q=site%3Anctopps.ncdmh.net. 
State Board,NC Office of State Personnel 
Undefined,NC Transportation Museum 
State Board,North Carolina Department of State Treasurer 
State Board,North Carolina Veterinary Medical Board 
Undefined,North Carolina's marketplace for discarded or surplus materials and products. 
Undefined,NC Division of Water Resources 
Undefined,North Carolina Division of Water Resources 
Department Education,"North Carolina Well Contractors Certification Commission - protects the public health and safety by ensuring the integrity and competence of well contractors through examination, certification, continuing education and enforcement. The Well Contractors Certification Unit is now part of the Department of Health and Human Services. "
Undefined,nc wildlife resource commission  
Undefined,"NC WiseOwl (NC Online Windows for Learning) has been providing online subscription resources for our schools since 1999.  Our mission is to ensure that all of our public and charter school students have access to a collection of online resources for use in research projects and homework assignments, without regard to the economic status of their local school system.  NC WiseOwl has three major strengths as an educational resource: "
Department Education,NC Zoo is an agency of the North Carolina Department of Natural and Cultural Resources 
Undefined,North Dakota League of Cities 
Undefined,Nevada Department of Wildlife 
Department Education,Nevada Department of Wildlife (NDOW) Licensing 
Undefined,North Dakota Recorders Information Network 
Travel Tourism,Travel and Tourism Site for North Dakota 
Undefined,Nebraska Ethanol Board 
Undefined,Nebraska AgRelations Council 
Department Transportation,Nebraska Association of Transportation Providers 
State Board,"Nebraska Arts Council. The Council is funded by the State of Nebraska, the National Endowment for the Arts, and the Nebraska Cultural Endowment. "
Undefined,Nebraska Corn Board 
Undefined,Nebraska Dry Bean Commission 
State Board,Nebraska State Historical Society 
State Board,Nebraska State Racing Commission 
Undefined,Nebraska Wheat Board 
Economic Development,Nebraska Department of Economic Development 
Undefined,Nebraska Lottery 
Undefined,Nevada Department of Transportation 
Undefined,The Nevada Judiciary 
Travel Tourism,Travel and Tourism Site for New Mexico 
Economic Development,Pennsylvania Department of Community & Economic Development 
Undefined,Nebraska Forest Service 
Undefined,NH Historical Society 
Undefined,NH Municipal Association 
Undefined,New Hampshire Lottery Commission 
Undefined,NH State Parks 
Economic Development,New Jersey Economic Development Authority 
Department Education,"Division of Fish and Wildlife, NJ Department of Environmental Protection "
Undefined,New Jersey State Library 
Undefined,New Jersey Surcharge Violation System (NJSVS) 
Department Education,Department of Labor and Workforce Development   
Undefined,New Mexico Lottery 
Public Health,New Mexico Environmental Public Health Tracking 
Undefined,"Special Supplemental Nutrition Program for New Mexico Women, Infants & Children "
Public Health,"Nutrition Services Branch, Women's and Children's Health, NC Division of Public Health, NCDepartment of Health and Human Services  "
Department Education,"Aging and Disability Services Division, Department of Health and Human Services, State of Nevada "
State Board,New York State Conference of Mayors and Municipal Officials (NYCOM) 
Undefined,New York Historical Society Museum and Library 
State Board,New York State Council on the Arts 
State Board,New York State eGovernment listing of state agencies 
Undefined,New York State Fair 
State Board,New York State Homes and Community Renewal 
State Board,New York State Local Government IT Directors Association (NYSLGITDA) 
State Board,New York State Police Recruitment Center 
Undefined,OK Corporation Commission 
Undefined,"Office of Hawaiian Affairs - 'Under the direction of nine trustees elected statewide, OHA has functioned operationally as both a government agency with a strong degree of autonomy, and as a trust.' "
Undefined,Ohio Bureau of Workers' Compensation 
Undefined,Ohio Humanities Council 
Undefined,Ohio Lottery 
Undefined,Ohio Recorders' Association 
Undefined,Oregon Historical Society 
Undefined,OK career tech website 
Undefined,OK dept of human services 
Department Education,"OKLibShare, Oklahoma Department of Libraries "
Undefined,OK LP Gas commission 
State Board,State of Virginia Olmstead Initiative 
Undefined,Ohio Municipal League 
Undefined,"Office of Land and Water Stewardship, a non-regulatory division within North Carolina's DENR that provides information and assistance to support effective conservation and resilient communities.  "
Undefined,Oregon Arts Commission 
Undefined,Oregon Governor's Office of Film and Television 
Undefined,Oregon Lottery 
Undefined,Oregon State Fair 
Undefined,"The Oklahoma Resources Integration General Information Network System (Origins) is an online database which contains economic, social, and demographic data intended for use by community leaders, educators, businesses, government agencies, and decision makers. "
State Board,Office of the State Bank Commissioner of Kansas 
State Board,OK State Court System 
State Board,Office of the Maryland State Prosecutor 
Undefined,North Carolina Division of Environmental Assistance and Customer Service   
Undefined,Commonwealth of Pennsylvania's media hub 
Undefined,Unified Judicial System of Pennsylvania 
Undefined,PA eHealth Partnership Authority 
Undefined,Pennsylvania FirstNet. See also http://www.ntia.doc.gov/sligp/pennsylvania.  
National Guard,Republic of Palau National Government 
Undefined,Palau Judiciary Branch 
State Board,Georgia State Defense Force public affairs office. Website mirrored on gasdf.com. Referenced on https://ga.ng.mil/Leadership/Georgia-State-Defense-Force/.
Undefined,South Dakota Parks & Wildlife Foundation 
State Board,PA State System of Higher Education 
Undefined,PA Patient Safety Authority 
Undefined,Pennsylvania Turnpike Commission 
Public Health,PA Health Care Cost Containment Council 
Department Education,PA Higher Education Assistance Agency 
Undefined,PA Higher Educational Facilities Authority 
Undefined,PA Housing Finance Agency 
State Board,"Pat Harrison Waterway District (PHWD), a Mississippi State Agency that provides camping, cabins and recreational facilities in Mississippi "
Undefined,South Carolina Ports Authority 
Undefined,The Port of Virginia 
State Board,Washington State Potato Commission 
State Board,"Alabama Historical Commission, State of Alabama Historic Preservation Office "
Department Education,"Queen Anne's Revenge, a project of the http://www.qaronline.org/ North Carolina Department of Cultural Resources to educate the next generation on colonial life "
State Board,"Uninsured Employers' Fund, State of Maryland "
State Board,OK State AG Econ at OSU 
Department Education,"Ready NC, NC Department of Public Safety "
Undefined,"Ready PA, Pennsylvania Emergency Management Agency "
Undefined,Washington Red Raspberry Commission 
State Board,The State Board of Refrigeration Examiners 
Department Education,Division of Vocational Rehabilitation - Florida Department of Education 
Undefined,Rhode Island Clean Water Finance Agency 
Undefined,Rhode Island Emissions and Safety Testing 
Undefined,Rhode Island Lottery 
Public Health,Rhode Island Public Utilities Commission 
Undefined,Rhode Island Turnpike and Bridge Authority 
Undefined,"Office of the President, Republic of the Marshall Islands "
State Board,"SafeMT, a resource of the Montana State Fund for safety in Montana's workplaces. "
Tourism Site,NC Safe Haven Law - Abandoned Infant Protection Law Site 
University Extension,"The website of the Virginia Center on Aging (VCoA), a statewide agency created by the Virginia General Assembly and housed at Virginia Commonwealth University in the School of Allied Health Professions. VCoA works to protect and improve the quality of life of older Virginians, so that they might remain interdependent and contributing members to life in Virginia. "
Public Health,"Santee Cooper, also known officially from the 1930s as the South Carolina Public Service Authority, is South Carolina's state-owned electric and water utility that came into being during the New Deal. "
State Board,New Mexico Office of the State Auditor 
Undefined,Save Water NC 
State Board,"Florida State Board of Administration, created by the Florida Constitution and is governed by a three-member Board of Trustees (Trustees), comprised of the Governor as Chair, the Chief Financial Officer and the Attorney General. "
State Board,Washington State Board for Community and Technical Colleges 
State Board,"State College Borough Water Authority, PA "
Undefined,SC dept of commerce 
Undefined,SC judicial courts 
Undefined,SC DMV 
Undefined,South Carolina Education Lottery 
Undefined,South Carolina Emergency Management Division 
Undefined,SC early childhood education program 
Undefined,SC Gov Mansion  
Undefined,SC govoners school for science and math 
Undefined,SC National Guard 
Department Education,"The State Council of Higher Education for Virginia (SCHEV) makes higher education public policy recommendations to the Governor and General Assembly in such areas as capital and operating budget planning, enrollment projections, institutional technology needs, and student financial aid. "
Department Education,"School Planning Section, North Carolina Department of Public Instruction "
Undefined,South Carolina Independent Living Council (SCILC) 
Undefined,South Carolina Independent Living Council (SCILC) 
Undefined,"The South Carolina EPSCoR/IDeA Program, CCCR COBRE, and the USC School of Medicine Instrumentation Resource Facility "
Undefined,SC malpractice patient compensation fund 
Undefined,South Carolina School for the Deaf and Blind 
Undefined,South Carolina Statewide Independent Living Council (SILC) 
Undefined,SC sec of state 
Undefined,South Carolina Department of Revenue 
Undefined,South Carolina Higher EducationTuition Grants Commission 
State Board,SC State Election Committee 
Undefined,SC Vocab Rehab 
Undefined,South Dakota Department of Transportation 
Economic Development,South Dakota Housing Development Authority 
Undefined,STATE EMPLOYEES ASSOCIATION OF NORTH CAROLINA 
Undefined,"Seeking Michigan, the online platform for the http://michigan.gov/mhc Michigan Historical Center. It includes http://www.michigan.gov/archivesofmi Archives of Michigan research guides and indexes, a blog, and educator resources&ndash;all from the Michigan Historical Center and Archives of Michigan staff. "
Undefined,Minnesota Senate 
Department Transportation,"Authorized Service Website for the Arizona Department of Transportation, Motor Vehicle Division "
State Board,Mississippi State Port Authority 
State Board,North Carolina State Health Plan for Teachers and State Employees 
Undefined,SLED (Statewide Library Electronic Doorway) 
Public Health,"State Laboratory of Public Health, NC Division of Public Health "
Undefined,"Science Museum of Virginia, located in Richmond, VA "
Undefined,NC Secretary Of State 
Undefined,south carolina arts commission 
Undefined,south carolina historical society 
Public Health,PA State Public School Building Authority 
State Board,"Susquehanna River Basin Commission - The Susquehanna River Basin Compact, was signed into law on December 24, 1970. The Compact, as adopted by the Congress of the United States, and the legislatures of New York State, Pennsylvania and Maryland, provides the mechanism to guide the conservation, development, and administration of the water resources of the vast river basin. "
State Board,"Start Squad, kid's portal to the State Library of North Carolina "
Undefined,North Carolina's Justus-Warren Heart Disease and Stroke Prevention Task Force 
Undefined,"*state.ak.us pattern to include Alaska state agencies, such as those at: https://www.google.com/#q=site:state.ak.us  "
Undefined,"*state.al.us pattern to include Alabama state agencies, such as those at: https://www.google.com/#q=site:state.al.us  "
State Board,*state.ar.us pattern for State of Arkansas agencies 
Undefined,"*state.az.us pattern to include Arizona state agencies, such as those at https://www.google.com/#q=site:state.az.us.  "
Undefined,"*state.ca.us pattern to include California state agencies, such as those at: https://www.google.com/#q=site:state.ca.us  "
Undefined,"Included to find *.state.co.us pattern to find state websites, such as https://www.google.com/search?q=site%3Astate.co.us  "
Undefined,"*state.fl.us pattern to include Florida state agencies, such as those at: https://www.google.com/#q=site:state.fl.us   "
State Board,State of Ga website 
Undefined,State of Iowa 
Undefined,Pattern for *state.id.us websites 
Undefined,State of Illinois 
Undefined,state of  Indiana 
Undefined,Ky Website 
Undefined,State Library of Louisiana 
Undefined,Mass State Website 
State Board,"State website is at http://www.maryland.gov. state.md.us pattern to include Maryland state agencies, such as those at https://www.google.com/#q=site:state.md.us. "
Undefined,state of maine 
Undefined,state of michigan 
State Board,Minnesota.gov portal; 'electronic entry point to Minnesota State government information and services' 
Undefined,State of Mississippi 
Undefined,*.state.ne.us pattern to include several state agencies. 
Undefined,NH State Website 
Undefined,"http://www.state.nj.us/ and http://www.nj.gov both resolve to the same site. n*state.nj.us pattern to include New Jersey state agencies, such as those at: https://www.google.com/#q=site:state.nj.us  "
Undefined,State of New Mexico 
Undefined,State of Ohio 
Undefined,State of OK website 
State Board,"http://www.state.or.us/ resolves to a non-styled version of http://www.oregon.gov/  n*state.or.us pattern included here to find State of Oregon agencies, such as: https://www.google.com/search?q=site:state.or.us "
Undefined,State of SC  
State Board,South Dakota State Government Website 
Undefined,Official site of the Tennessee Government 
Undefined,The official website of the Commonwealth of Virginia 
Undefined,State of Vermont 
Undefined,State of Washington 
Undefined,"*.state.wi.us pattern is included here for various Department-level agencies, such as those at: https://www.google.com/search?q=site%3Astate.wi.us  Requires 'www' to resolve. "
State Board,State of Wyoming travel and tourism website 
Undefined,Nebraska State Fair 
Undefined,"Staten Island Borough President, New York, NY "
Undefined,NC Division of Surplus Property 
Undefined,NC sustainability connection 
Undefined,"Welcome to Teach4NC, dedicated to the recruitment of teaching professionals for public schools in North Carolina. "
Undefined,Tennessee Holocaust Commission 
Undefined,State Bar of Texas 
Undefined,Tennessee Foreign Language Institute 
Economic Development,Tennessee Housing Development Agency 
Undefined,kentucky cabinet of economic development 
Undefined,Texas Municipal Retirement System (TMRS)  
Undefined,Tennessee District Attorneys General Conference 
Undefined,Tennessee Emergency Management Agency 
Undefined,Lottery Tennessee 
Undefined,Tennessee National Guard 
Undefined,"Tennessee Vacation, the travel and tourism site for the state of Tennessee "
Undefined,Texas Parks and Wildlife magazine 
Travel Tourism,Travel and Tourism Site for Alaska 
Travel Tourism,Travel and Tourism Site for Iowa 
Travel Tourism,Travel and Tourism Site for Kansas 
Travel Tourism,Travel and Tourism Sites for Nevada 
Travel Tourism,Travel and Tourism Sites for Oklahoma 
Travel Tourism,"Travel and Tourism Site for Oregon, Oregon Tourism Commission "
Travel Tourism,Travel and Tourism Sites for South Dakota 
Travel Tourism,Travel and Tourism Sites for Texas 
Travel Tourism,Travel and Tourism Sites for Wisconsin 
Undefined,Nebraska State Treasurer 
Undefined,Washington Tree Fruit Research Commission 
State Board,Washington State Tobacco Settlement Authority 
Undefined,Texas Lottery 
University Extension,"University of Arkansas, Division of AgricultureResearch & Extension, University of Arkansas System Arkansas Cooperative Extension Service "
University Extension,University of Alaska Fairbanks Cooperative Extension Service 
Undefined,University of Idaho Extension 
Economic Development,U.S. Virgin Islands Bureau of Economic Research 
Economic Development,U.S. Virgin Islands Economic Development Authority 
Undefined,University of Vermont Extension 
Undefined,University of Wisconsin-Extension 
University Extension,University of Wyoming Cooperative Extension Service 
State Board,Virginia State Rehabilitation Council (SRC) 
Undefined,"The Virginia Association of Assessing Officers is a professional organization of assessors and appraisers from state and local governments throughout the Commonwealth. The organization's mission is to improve assessment standards, disseminate information on assessment practices, and provide continuing education to its members. "
State Board,Virginia Board for People with Disabilities 
Undefined,Virginia Commonwealth Neurotrauma Initiative (CNI) Trust Fund 
Department Education,Virginia Department for Aging and Rehabilitative Services 
Department Education,Virginia Department for Aging and Rehabilitative Services 
Undefined,Virginia Disability Services Agencies 
Department Education,Virginia Department of Fire Programs 
Undefined,Virginia Lottery 
Undefined,Virginia Statewide Independent Living Council 
Undefined,Virginia Assistive Technology System 
Department Education,Virginia Career Education Foundation is a non-profit organization that works to increase the number of qualified applicants available to fill technical positions throughout the Commonwealth of Virginia. 
Department Education,Virginia Department for the Blind and Vision Impaired 
Department Education,Virginia Department for the Deaf and Hard of Hearing (VDDHH) 
State Board,State of North Carolina's Vendor Registration 
Undefined,Vermont Arts Council 
Undefined,Vermont Historical Society 
Travel Tourism,Travel and Tourism Site for Vermont 
Economic Development,Virginia Housing Development Authority 
Undefined,Vermont Housing Finance Agency 
State Board,The Virginia Horse Industry Board is responsible for the promotion and economic development of the horse industry in Virginia and operates through the Virginia Department of Agriculture and Consumer Services. 
Undefined,"Virginia Industries for the Blind, Commonwealth of Virginia "
Undefined,Virgin Islands Department of Education 
Undefined,Office of the Virgin Islands Inspector General 
Department Education,U.S. Virgin Islands Police Department 
Travel Tourism,Travel and Tourism Sites for Virginia 
Undefined,Virginia College Savings Plan 
Economic Development,Virginia Economic Development Partnership's Ally Information Exchange 
Undefined,Virginia Department of Transportation 
Undefined,Virginia Resources Authority 
Travel Tourism,Travel and Tourism Site for California 
Undefined,California Welcome Centers 
Travel Tourism,Travel and Tourism Sites for Delaware 
Travel Tourism,Travel and Tourism Site for Florida 
Travel Tourism,Travel and Tourism Sites for Guam 
Travel Tourism,Travel and Tourism Site for Idaho 
Travel Tourism,Travel and Tourism Sites for Maine 
Travel Tourism,Travel and Tourism Site for Maryland 
Travel Tourism,Travel and Tourism Sites for Mississippi 
Travel Tourism,Travel and Tourism Site for Missouri 
Travel Tourism,Travel and Tourism Site for Montana 
Travel Tourism,Travel and Tourism Site for North Carolina 
Travel Tourism,Travel and Tourism Site for Nebraska 
Travel Tourism,Travel and Tourism Site for Pennsylvania 
Travel Tourism,Travel and Tourism Site for Rhode Island 
Travel Tourism,Travel and tourism site for the US Virgin Islands 
Travel Tourism,Travel and Tourism Site for Utah 
Undefined,Supreme Court of the United States Virgin Islands 
Department Education,"Viva Florida 500 is a statewide initiative led by the Florida Department of State, under the leadership of Governor Rick Scott, to highlight the 500 years of historic people, places and events in present-day Florida since the arrival of Juan Ponce de Leon to the land he named La Florida in 1513. See more at http://www.vivaflorida.org/About-Viva-Florida/ "
Undefined,"Virginia Museum of Natural History in Martinsville, VA "
Undefined,Florida Governor's Commission on Volunteerism and Community Service 
Undefined,"Volunteer Mississippi, A Mississippi Commission for Volunteer Service (MCVS) "
Undefined,North Carolina Commission on Volunteerism and Community Service 
Undefined,Virginia Rehabilitation Center for the Blind and Vision Impaired 
Undefined,Virginia Rural Water Association 
Undefined,Virginia State Bar 
Undefined,Vermont National Guard 
Undefined,Vermont Lottery 
Undefined,Washington Blueberry Commission 
Undefined,Washington Hardwoods Commission 
Undefined,Washington State Lottery 
State Board,Washington State Seed Potato Commission 
Travel Tourism,Travel and Tourism Site for the District of Columbia 
National Guard,Washington Air National Guard 
National Guard,Washington Army National Guard 
Undefined,Washington National Guard 
State Board,Washington State Wine Commission 
Undefined,Washington Association of Sheriffs and Police Chiefs 
State Board,"Waterparkin', a website of the Pat Harrison Waterway District (PHWD) a Mississippi State Agency that provides camping, cabins and recreational facilities in Mississippi. See historical snaphot at: http://web.archive.org/web/20101224004547/http://waterparkin.com/  "
Undefined,"The Way We Lived in North Carolina, presented by http://www.ah.dcr.state.nc.us/ The North Carolina Office of Archives & History. "
Department Education,State of Wisconsin Department of Financial Institutions 
University Extension,University of Rhode Island Cooperative Extension 
Economic Development,Washington Economic Development Finance Authority 
Public Health,"Women's Health Branch, NC Division of Public Health "
Economic Development,Wisconsin Housing and Economic Development Authority 
Department Education,Washington Higher Education Facilities Authority 
Department Education,Oklahoma Department of Wildlife Conservation - http://www.wildlifedepartment.com/  
Undefined,Wisconsin Lottery 
Undefined,Virgin Islands Lottery 
Undefined,Wisconsin Historical Society 
Public Health,Wisconsin State Public Defender's Office 
Undefined,Register of Deeds Association of Wisconsin 
State Board,"NC Dept of Health and Human services, division of State operated healthcare facilities "
State Board,Washington State Convention Center 
State Board,Washington State Commission on Pesticide Registration 
State Board,Washington State Housing Finance Commission 
State Board,Washington State School for the Blind 
Undefined,West Virginia Department of Agriculture 
Undefined,West Virginia Department of Commerce 
Undefined,West Virginia Division of Culture and History 
Public Health,West Virginia Department of Health and Human Resources 
Economic Development,West Virginia Housing Development Fund 
Department Education,West Virginia Higher Education Policy Commission 
Department Education,"West Virginia Department of Commerce, Division of Labor "
Undefined,West Virginia Lottery 
Undefined,West Virginia Network for Educational Telecomputing 
Public Health,West Virginia Consolidated Public Retirement Board 
Undefined,West Virginia State Parks 
State Board,West Virginia State Treasurer's Office 
Travel Tourism,Travel and Tourism Site for West Virginia 
Economic Development,West Virginia Water Development Authority 
National Guard,Montana Army National Guard 
Undefined,Wyoming Business Council 
Travel Tourism,Travel and Tourism Site for Wyoming 
State Board,"Virginia Economic Development Partnership. As a state authority, the Partnership is governed by a 25 member http://yesvirginia.org/AboutUs/BoardOfDirectors Board Of Directors comprised of businesspersons from around Virginia, each of whom is appointed by the http://www.governor.virginia.gov Governor and the General Assembly.  "
